,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
1015,20,47,62,0,1,2,2,2,2,2,2,3,15,17,17,39,48,62,62,62,62,62,62,62
1016,20,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
1017,20,49,64,0,58,58,58,58,58,58,58,58,58,58,58,59,60,61,63,64,64,64,64,64
1018,20,51,19,0,16,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19
1019,20,52,26,0,0,0,0,0,0,0,0,0,0,2,2,15,15,22,26,26,26,26,26,26
1020,20,54,22,0,0,2,2,2,2,2,2,2,2,2,2,5,15,18,20,21,22,22,22,22
1021,20,55,258,0,1,2,2,2,2,2,2,8,14,15,15,190,256,258,258,258,258,258,258,258
1022,20,56,18,0,1,1,1,1,1,1,1,1,1,1,1,7,8,10,13,15,17,18,18,18
1023,20,57,229,0,8,8,8,8,8,8,8,9,12,15,15,59,64,88,133,201,229,229,229,229
1024,20,58,23,0,0,0,0,0,0,0,0,0,8,11,11,14,14,16,16,22,23,23,23,23
1025,20,59,1503,0,14,67,67,67,67,67,67,68,358,365,365,680,884,944,1199,1343,1496,1503,1503,1503
1026,20,60,7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,7,7,7,7
1027,20,61,100,0,15,15,15,15,15,15,15,16,37,37,37,45,45,57,95,99,100,100,100,100
1028,20,62,92,0,15,15,15,15,15,15,15,15,17,17,17,18,24,29,52,91,92,92,92,92
1029,20,63,1243,0,0,62,63,63,63,63,63,63,76,76,76,646,648,715,742,1243,1243,1243,1243,1243
1030,20,64,169,0,10,12,12,12,12,12,12,13,15,15,15,55,64,74,100,139,167,169,169,169
1031,20,65,13,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
1032,20,66,405,0,1,103,103,103,103,103,103,133,405,405,405,405,405,405,405,405,405,405,405,405
1033,20,67,28,0,21,21,21,21,21,21,21,21,21,21,21,23,23,25,26,27,28,28,28,28
1034,20,68,35,0,0,2,2,2,2,2,2,2,2,2,2,6,7,8,18,32,35,35,35,35
1035,20,69,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3
1036,20,70,250,0,0,0,0,0,0,0,0,12,23,24,24,75,94,108,144,199,250,250,250,250
1037,20,71,234,0,10,36,36,36,36,36,36,38,45,52,52,76,118,146,169,191,218,228,234,234
1038,20,72,54,0,2,3,3,3,3,3,3,3,9,10,10,19,21,25,34,36,54,54,54,54
1039,20,74,48,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
1040,20,75,12,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,8,8,12,12
1041,20,76,239,0,61,61,61,61,61,61,61,62,84,87,87,134,138,144,182,199,230,232,239,239
1042,20,77,913,0,0,0,0,0,0,0,0,0,26,28,28,277,285,387,562,757,913,913,913,913
1043,20,78,16,0,0,0,0,0,0,0,0,1,1,1,1,1,13,14,16,16,16,16,16,16
1044,20,79,83,0,0,0,0,0,0,0,0,0,0,0,0,12,13,21,40,48,83,83,83,83
1045,20,80,34,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,25,31,33,33,34,34
1046,21,1,412,0,2,4,8,11,11,13,13,13,13,19,71,97,104,127,146,176,412,412,412,412
1047,21,2,315,0,9,10,19,19,19,20,20,20,20,34,72,101,105,113,146,165,315,315,315,315
1048,21,4,343,0,0,0,0,0,0,0,3,8,8,47,93,108,109,125,199,262,343,343,343,343
1049,21,5,440,0,0,1,34,34,34,34,34,34,34,34,46,63,63,255,314,385,440,440,440,440
1050,21,6,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,17,26,27,27,27,27
1051,21,7,88,0,0,0,0,0,0,0,0,0,0,1,41,54,57,58,61,72,88,88,88,88
1052,21,8,4336,0,2,3,8,8,8,8,9,9,9,9,171,419,419,419,2451,4336,4336,4336,4336,4336
1053,21,9,26,0,0,0,0,0,0,1,1,1,1,1,4,7,7,22,26,26,26,26,26,26
1054,21,11,1229,4,7,44,77,78,82,133,133,133,133,143,405,733,741,889,1134,1210,1229,1229,1229,1229
1055,21,12,4,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4,4,4,4,4,4
1056,21,14,104,0,0,0,1,1,1,15,15,15,15,15,19,22,23,27,28,34,104,104,104,104
1057,21,15,56,0,1,1,1,1,1,3,3,3,3,12,16,16,46,55,55,55,56,56,56,56
1058,21,16,2006,4,45,82,84,85,107,184,185,185,185,285,1161,1675,1998,1998,1998,2006,2006,2006,2006,2006
1059,21,18,43,0,0,0,1,1,1,1,1,1,1,5,10,12,20,27,38,43,43,43,43,43
1060,21,19,83,0,1,1,1,1,1,1,1,1,1,5,5,57,64,83,83,83,83,83,83,83
1061,21,20,2302,0,60,63,63,63,63,141,142,142,142,198,389,603,656,1073,1588,2013,2302,2302,2302,2302
1062,21,22,35,0,0,0,2,2,2,5,5,5,5,6,10,11,21,23,30,34,35,35,35,35
1063,21,23,190,0,0,0,3,3,3,3,3,3,3,9,48,75,78,100,143,176,190,190,190,190
1064,21,24,2101,0,19,20,22,23,26,116,116,116,116,238,356,561,626,1118,1522,1812,2101,2101,2101,2101
1065,21,25,7,0,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1066,21,27,1498,0,30,70,381,443,444,445,445,445,445,480,642,737,801,895,1124,1382,1498,1498,1498,1498
1067,21,28,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,9,9,9,9,9
1068,21,29,84,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,18,77,84,84,84,84
1069,21,30,1467,0,25,51,52,52,54,76,76,79,79,249,308,308,400,777,1186,1264,1467,1467,1467,1467
1070,21,31,5853,0,0,0,0,0,0,0,0,0,0,160,541,1292,1749,2643,4006,5043,5853,5853,5853,5853
1071,21,32,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
1072,21,33,3131,0,0,0,22,27,39,76,77,77,77,455,787,1106,1217,1714,2181,2771,3131,3131,3131,3131
1073,21,34,2712,0,7,77,258,304,321,329,330,330,330,532,924,1498,1668,1911,2044,2412,2712,2712,2712,2712
1074,21,35,40,0,0,0,0,0,0,0,1,4,4,7,22,27,27,34,40,40,40,40,40,40
1075,21,36,1947,0,0,3,10,12,14,39,39,39,39,145,730,1036,1117,1509,1732,1911,1947,1947,1947,1947
1076,21,37,8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,7,7,8,8,8,8
1077,21,38,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1078,21,40,247,0,0,0,1,1,1,2,2,2,2,20,66,79,119,168,191,233,247,247,247,247
