pairname,pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,total
104,TYPEj-TYPEf,0.1094,0.5469,0.6250,0.8906,0.6406,0.3125,0.5469,0.1250,0.6562,0.3594,0.4688,0.6094,1.1250,0.9062,1.1094,1.0312,0.8594,0.8750,0.2812,0.1406,12.2188
105,TYPEj-TYPEg,0.1500,0.5500,0.4500,0.7000,0.2500,0.2000,0.3000,0.0000,0.6500,0.3000,0.6500,0.9500,0.8500,1.0500,1.1000,1.4500,1.2500,1.1500,0.7000,0.1500,12.8500
106,TYPEj-TYPEh,0.1000,0.3000,0.6000,0.8000,0.6500,0.2500,0.6500,0.4000,0.9000,0.5000,0.5500,0.8000,1.0500,0.6500,0.6000,1.2500,1.0500,1.1000,0.4500,0.2000,12.8500
107,TYPEj-TYPEi,0.1250,0.5000,0.6250,1.0000,0.5000,0.0000,0.0000,0.0000,0.1250,0.2500,0.5000,0.7500,0.3750,0.3750,0.8750,1.5000,0.8750,0.7500,0.2500,0.0000,9.3750
108,TYPEj-TYPEj,0.0000,0.5000,1.2500,1.3750,1.2500,0.6250,0.8750,0.8750,1.2500,0.7500,0.7500,1.1250,1.5000,0.8750,1.1250,1.5000,1.5000,1.0000,1.2500,0.3750,19.7500
109,TYPEj-TYPEk,0.2812,0.7500,0.9375,0.8125,1.0312,0.4375,0.5938,0.0312,0.9062,0.5938,0.5000,0.5938,1.1875,0.6875,0.9062,1.1250,0.7500,0.6875,0.4375,0.1250,13.3750
110,TYPEk-TYPEa,0.2333,0.7667,0.7583,0.7333,0.4500,0.4333,0.5167,0.2167,0.5083,0.3000,0.4417,0.3667,0.6833,0.3083,0.3250,0.3500,0.4083,0.2083,0.0750,0.0500,8.1333
111,TYPEk-TYPEb,0.2303,0.5724,0.3487,0.2961,0.2368,0.2829,0.3092,0.1250,0.3750,0.4605,0.4803,0.4079,0.6645,0.3882,0.4868,0.4671,0.4211,0.3026,0.1118,0.0329,7.0000
112,TYPEk-TYPEc,0.1750,0.6250,0.6250,0.4250,0.4250,0.4750,0.4250,0.3000,0.5000,0.4250,0.7000,0.7250,0.9250,0.5750,0.6750,0.7000,0.6000,0.4500,0.4250,0.1000,10.2750
113,TYPEk-TYPEd,0.0938,0.9375,0.5625,0.5312,0.4688,0.4375,0.4375,0.1250,0.6250,0.3125,0.7500,0.6875,1.0625,0.6562,0.7188,0.6562,0.5312,0.2812,0.0000,0.0938,9.9688
114,TYPEk-TYPEe,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,TYPEk-TYPEf,0.3281,0.7656,0.4766,0.4688,0.3438,0.3047,0.4297,0.0625,0.4531,0.4062,0.5234,0.5234,0.9062,0.5469,0.5625,0.5234,0.4844,0.3672,0.0859,0.0312,8.5938
116,TYPEk-TYPEg,0.4500,1.0750,0.6500,0.5750,0.3500,0.3250,0.4750,0.2000,0.7500,0.5750,0.9500,0.8250,1.0750,0.9000,0.8500,0.8500,0.8000,0.6750,0.4000,0.1000,12.8500
117,TYPEk-TYPEh,0.1750,0.4750,0.3250,0.3000,0.2000,0.1250,0.2750,0.0250,0.4500,0.2000,0.7500,0.6250,0.6500,0.2500,0.2750,0.4250,0.4250,0.3500,0.1250,0.0500,6.4750
118,TYPEk-TYPEi,0.2500,0.8125,0.3125,0.4375,0.1250,0.0000,0.0000,0.0625,0.0625,0.0625,0.2500,0.1875,0.4375,0.2500,0.2500,0.5000,0.1875,0.2500,0.0625,0.0625,4.5625
119,TYPEk-TYPEj,0.2812,0.7500,0.9375,0.8125,1.0312,0.4375,0.5938,0.0312,0.9062,0.5938,0.5000,0.5938,1.1875,0.6875,0.9062,1.1250,0.7500,0.6875,0.4375,0.1250,13.3750
120,TYPEk-TYPEk,0.5312,0.9375,0.8438,0.5625,0.3438,0.2812,0.3750,0.1875,0.5000,0.4375,0.7500,0.5625,1.1562,0.4062,0.4375,0.5625,0.3438,0.2188,0.0938,0.0312,9.5625
